region_macro;region;city;fias;employer;position_type;salary_min;salary_max;salary_type;vacancy_source
Республика Татарстан;Респ Татарстан;г Казань;93b3df57-4c89-44df-ac42-96f05e9cd3b9;Кафе-пекарня Добропек (Стерлядев О.Ю.);Продавец-кассир;18000;23000;net;hh
Московская область;Московская обл;г Пересвет;ea80b93f-7a37-455e-a42c-33f13ab8bc06;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Московская область;Московская обл;г Мытищи;5f290be7-14ff-4ccd-8bc8-2871a9ca9d5f;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Мясоперерабатывающий завод «РЕМИТ»;Продавец-кассир;38000;42000;net;hh
Сахалинская область;Сахалинская обл;г Южно-Сахалинск;44388ad0-06aa-49b0-bbf9-1704629d1d68;Фабрика Вкуса;Продавец-кассир;32760;35100;net;hh
Чувашская Республика;Чувашская республика - Чувашия;г Чебоксары;dd8caeab-c685-4f2a-bf5f-550aca1bbc48;Группа Компаний «GreenSpark»;Продавец-кассир;30000;35000;net;hh
Московская область;Московская обл;г Мытищи;5f290be7-14ff-4ccd-8bc8-2871a9ca9d5f;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Московская область;Московская обл;г Пересвет;ea80b93f-7a37-455e-a42c-33f13ab8bc06;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Рязанская область;Рязанская обл;г Рязань;86e5bae4-ef58-4031-b34f-5e9ff914cd55;ДИКСИ, группа компаний;Продавец-кассир;20500;27200;gross;hh
Республика Крым;г Севастополь;г Севастополь;6fdecb78-893a-4e3f-a5ba-aa062459463b;МагазинЧИК;Продавец-кассир;25000;32000;net;hh
Краснодарский край;Краснодарский край;г Краснодар;7dfa745e-aa19-4688-b121-b655c11e482f;Арушанян Арминак Шотаевич;Продавец-кассир;36400;36400;net;hh
Московская область;Московская обл;г Пушкино;7f22cfa4-34fa-4fa0-bcb0-620cd8402cfa;ДИКСИ, группа компаний;Продавец-кассир;22000;28000;gross;hh
Саратовская область;Саратовская обл;г Саратов;bf465fda-7834-47d5-986b-ccdb584a85a6;Сеть магазинов Гроздь;Продавец-кассир;20000;25000;gross;hh
Саратовская область;Саратовская обл;г Энгельс;c58d0505-54eb-4c34-8216-b14f7cdb0ecb;Сеть магазинов Гроздь;Продавец-кассир;20000;25000;gross;hh
Московская область;Московская обл;г Щёлково;c38a33c1-8f16-4454-bbf4-656d6b8b1739;Фреш Маркет;Продавец-кассир;47000;56000;gross;hh
Амурская область;Амурская обл;г Благовещенск;8f41253d-6e3b-48a9-842a-25ba894bd093;ПивоваровЪ;Продавец-кассир;26000;35000;gross;hh
Московская область;Московская обл;г Щёлково;c38a33c1-8f16-4454-bbf4-656d6b8b1739;ДИКСИ, группа компаний;Продавец-кассир;26000;45000;gross;hh
Красноярский край;Красноярский край;г Красноярск;9b968c73-f4d4-4012-8da8-3dacd4d4c1bd;Командор, сеть супермаркетов;Продавец-кассир;20000;24000;net;hh
Челябинская область;Челябинская обл;г Челябинск;a376e68d-724a-4472-be7c-891bdb09ae32;Агрофирма АРИАНТ;Продавец-кассир;18000;25000;net;hh
Московская область;Московская обл;г Сергиев Посад;7baaac39-aa31-4712-893d-51ef80124a86;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Пермский край;Пермский край;г Пермь;a309e4ce-2f36-4106-b1ca-53e0f48a6d95;Пекарня Чудо;Продавец-кассир;20000;25000;net;hh
Московская область;Московская обл;г Фрязино;13696e0e-4c75-49aa-9c83-0a6faf5074ee;ДИКСИ, группа компаний;Продавец-кассир;26000;35000;gross;hh
Республика Крым;Респ Крым;г Керчь;b7b1ef3e-bd1c-4080-80ea-f0580b40281b;Иванова Татьяна Борисовна;Продавец-кассир;25000;35000;net;hh
Челябинская область;Челябинская обл;г Миасс;f2976e80-32e1-4284-8eda-06cf19239cd1;СПАР Урал;Продавец-кассир;17500;26500;net;hh
Ростовская область;Ростовская обл;г Ростов-на-Дону;c1cfe4b9-f7c2-423c-abfa-6ed1c05a15c5;Хлебница;Продавец-кассир;28000;35000;net;hh
Иркутская область;Иркутская обл;г Ангарск;82b6b7c8-82a4-44b2-8bc7-691373706b89;Командор, сеть супермаркетов;Продавец-кассир;19000;23000;net;hh
Московская область;Московская обл;г Щёлково;c684cba6-1736-479f-99c3-7e79c8000083;ДИКСИ, группа компаний;Продавец-кассир;26000;35000;gross;hh
Мурманская область;Мурманская обл;г Мурманск;b7127184-ead6-422b-b7cf-4fc7725b47a5;Л'Этуаль;Продавец-кассир;30000;80000;gross;hh
Челябинская область;Челябинская обл;г Миасс;f2976e80-32e1-4284-8eda-06cf19239cd1;Первый Рабочий;Продавец-кассир;25000;27000;net;hh
Ставропольский край;Ставропольский край;г Кисловодск;82551e9e-14a4-4414-ad60-6cc944763ff3;Канцелярский Мир Плюс;Продавец-кассир;25000;45000;gross;hh
Московская область;Московская обл;г Мытищи;fb79b85b-549d-4f91-8f28-dd009d36889d;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Московская область;Московская обл;г Сергиев Посад;945d9294-aae6-4593-87a9-7adf556bc402;ДИКСИ, группа компаний;Продавец-кассир;28000;40000;gross;hh
Ивановская область;Ивановская обл;г Юрьевец;be9d618e-8dc4-498f-aed6-03ce38f82683;ВЕРНЫЙ, Сеть магазинов;Продавец-кассир;20500;23500;gross;hh
Владимирская область;Владимирская обл;г Покров;f1c2252b-c3da-43f4-86ea-5f05812e99d5;ВЕРНЫЙ, Сеть магазинов;Продавец-кассир;22800;25800;gross;hh
Владимирская область;Владимирская обл;г Киржач;115db243-1238-412f-a2a1-6d53ef30ba9e;ВЕРНЫЙ, Сеть магазинов;Продавец-кассир;22800;25800;gross;hh
Ставропольский край;Ставропольский край;г Ессентуки;0ca8280c-89cb-4c81-8a99-ae10a98416bc;Канцелярский Мир Плюс;Продавец-кассир;20000;45000;gross;hh
Московская область;Московская обл;г Старая Купавна;d7598c38-8e4c-46a2-aa50-716f9d4343ce;ДИКСИ, группа компаний;Продавец-кассир;26000;45000;gross;hh
Забайкальский край;Забайкальский край;г Чита;2d9abaa6-85a6-4f1f-a1bd-14b76ec17d9c;Спортмастер;Продавец-кассир;20000;25000;net;hh
Московская область;Московская обл;г Сергиев Посад;7baaac39-aa31-4712-893d-51ef80124a86;ДИКСИ, группа компаний;Продавец-кассир;28000;45000;gross;hh
Волгоградская область;Волгоградская обл;г Волгоград;a52b7389-0cfe-46fb-ae15-298652a64cf8;MYBOX;Продавец-кассир;20000;30000;gross;hh
Челябинская область;Челябинская обл;г Челябинск;a376e68d-724a-4472-be7c-891bdb09ae32;ДИКСИ, группа компаний;Продавец-кассир;25000;35000;gross;hh
Челябинская область;Челябинская обл;г Снежинск;08aad8a8-0067-4161-8389-b75d1da72866;ДИКСИ, группа компаний;Продавец-кассир;30000;40000;gross;hh
Владимирская область;Владимирская обл;г Ковров;0b4978e2-e64c-4db1-b84d-93cf34bdb04b;FIX PRICE;Продавец-кассир;21000;22000;net;hh
Смоленская область;Смоленская обл;г Смоленск;d414a2e8-9e1e-48c1-94a4-7308d5608177;FIX PRICE;Продавец-кассир;20000;22000;net;hh
Камчатский край;Камчатский край;г Петропавловск-Камчатский;0b3f0723-5fe0-4c23-af44-8082166c6d2e;Раевский Дмитрий Юрьевич;Продавец-кассир;40000;45000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;5LB;Продавец-кассир;45000;70000;gross;hh
Челябинская область;Челябинская обл;г Снежинск;08aad8a8-0067-4161-8389-b75d1da72866;Первый Рабочий;Продавец-кассир;27000;30000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;ДИКСИ, группа компаний;Продавец-кассир;30000;35000;gross;hh
Московская область;Московская обл;г Наро-Фоминск;eb2b1b37-bf13-47ef-94bb-4bf71005bba1;ВЕРНЫЙ, Сеть магазинов;Продавец-кассир;24000;28000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Группа компаний КАНТ;Продавец-кассир;40000;55000;net;hh
Московская область;Московская обл;г Сергиев Посад;ac312ba3-99c3-4385-9f8b-3104f547d382;ДИКСИ, группа компаний;Продавец-кассир;30000;40000;gross;hh
Тульская область;Тульская обл;г Тула;b2601b18-6da2-4789-9fbe-800dde06a2bb;ДИКСИ, группа компаний;Продавец-кассир;24000;39500;gross;hh
Самарская область;Самарская обл;г Самара;bb035cc3-1dc2-4627-9d25-a1bf2d4b936b;Хлебница;Продавец-кассир;25000;38000;net;hh
Московская область;Московская обл;г Климовск;5a11404e-3a4f-4943-b60c-51480729dcfb;ВЕРНЫЙ, Сеть магазинов;Продавец-кассир;26000;30000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;ДИКСИ, группа компаний;Продавец-кассир;30000;35000;gross;hh
Московская область;Московская обл;г Пересвет;ea80b93f-7a37-455e-a42c-33f13ab8bc06;ДИКСИ, группа компаний;Продавец-кассир;30000;40000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;ДИКСИ, группа компаний;Продавец-кассир;30000;35000;gross;hh
Московская область;Московская обл;г Мытищи;5f290be7-14ff-4ccd-8bc8-2871a9ca9d5f;ДИКСИ, группа компаний;Продавец-кассир;30000;40000;gross;hh
Московская область;Московская обл;г Хотьково;6cdcecfe-4d41-426c-bac4-034348f7068b;ДИКСИ, группа компаний;Продавец-кассир;30000;40000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;ДИКСИ, группа компаний;Продавец-кассир;30000;35000;gross;hh
Владимирская область;Владимирская обл;г Петушки;b7ba6bfc-4b0c-4b05-88bd-267d50b36850;Куриный дом;Продавец-кассир;25000;50000;net;hh
Кемеровская область;Кемеровская область - Кузбасс;г Кемерово;94bb19a3-c1fa-410b-8651-ac1bf7c050cd;Детский Мир;Продавец-кассир;24000;25900;gross;hh
Республика Татарстан;Респ Татарстан;г Набережные Челны;748d7afa-7407-4876-9f40-764ecdd09bbd;Агат, Торговый Дом;Продавец-кассир;20000;22000;net;hh
Московская область;Московская обл;г Мытищи;5f290be7-14ff-4ccd-8bc8-2871a9ca9d5f;ДИКСИ, группа компаний;Продавец-кассир;30000;40000;gross;hh
Санкт-Петербург;г Санкт-Петербург;г Санкт-Петербург;c2deb16a-0330-4f05-821f-1d09c93331e6;Подружка, сеть магазинов;Продавец-кассир;26000;34000;gross;hh
Московская область;Московская обл;г Хотьково;6cdcecfe-4d41-426c-bac4-034348f7068b;ДИКСИ, группа компаний;Продавец-кассир;30000;40000;gross;hh
Московская область;Московская обл;г Пересвет;ea80b93f-7a37-455e-a42c-33f13ab8bc06;ДИКСИ, группа компаний;Продавец-кассир;30000;45000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;Кулинарная лавка братьев Караваевых;Продавец-кассир;35000;60000;net;hh
Московская область;Московская обл;г Жуковский;fd91f393-4820-437f-a50c-907e9856c374;ВЕРНЫЙ, Сеть магазинов;Продавец-кассир;30000;33000;gross;hh
Иркутская область;Иркутская обл;г Ангарск;82b6b7c8-82a4-44b2-8bc7-691373706b89;Командор, сеть супермаркетов;Продавец-кассир;19000;21000;net;hh
Республика Крым;Респ Крым;г Ялта;c64ea472-28c6-4242-968f-0e1a08830f8e;МагазинЧИК;Продавец-кассир;28000;33000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;ДИКСИ, группа компаний;Продавец-кассир;30000;35000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;ДИКСИ, группа компаний;Продавец-кассир;30000;35000;gross;hh
Ульяновская область;Ульяновская обл;г Ульяновск;bebfd75d-a0da-4bf9-8307-2e2c85eac463;Хлебница;Продавец-кассир;28000;30000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;ДИКСИ, группа компаний;Продавец-кассир;30000;35000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;ДИКСИ, группа компаний;Продавец-кассир;30000;35000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;ДИКСИ, группа компаний;Продавец-кассир;30000;35000;gross;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;ДИКСИ, группа компаний;Продавец-кассир;30000;35000;gross;hh
Московская область;Московская обл;г Красноармейск;bc5d23ce-e886-4dc7-976c-6b8be6d501d2;ДИКСИ, группа компаний;Продавец-кассир;30000;45000;gross;hh
Московская область;Московская обл;г Пушкино;73dc612e-ef64-493c-9d65-216fcb768b7c;ДИКСИ, группа компаний;Продавец-кассир;30000;45000;gross;hh
Московская область;Московская обл;г Сергиев Посад;7baaac39-aa31-4712-893d-51ef80124a86;ДИКСИ, группа компаний;Продавец-кассир;30000;45000;gross;hh
Пермский край;Пермский край;г Пермь;a309e4ce-2f36-4106-b1ca-53e0f48a6d95;Суши WOK;Продавец-кассир;18000;25000;net;hh
Московская область;Московская обл;г Подольск;b22cf685-e391-42c8-aab5-a9aadb9193d4;Куриный дом;Продавец-кассир;35000;45000;net;hh
Кировская область;Кировская обл;г Киров;452a2ddf-88a1-4e35-8d8d-8635493768d4;Вятские меха;Продавец-кассир;20000;25000;net;hh
Красноярский край;Красноярский край;г Красноярск;9b968c73-f4d4-4012-8da8-3dacd4d4c1bd;Группа Компаний «GreenSpark»;Продавец-кассир;50000;50000;net;hh
Ивановская область;Ивановская обл;г Иваново;40c6863e-2a5f-4033-a377-3416533948bd;Юнит 2000;Продавец-кассир;23000;26000;net;hh
Тульская область;Тульская обл;г Новомосковск;0b6e326e-74ca-4e24-93d4-2c385c292bb5;СВШ;Продавец-кассир;25000;30000;net;hh
Кировская область;Кировская обл;г Киров;452a2ddf-88a1-4e35-8d8d-8635493768d4;Данар;Продавец-кассир;18000;22000;net;hh
Московская область;Московская обл;г Фрязино;13696e0e-4c75-49aa-9c83-0a6faf5074ee;FIX PRICE;Продавец-кассир;28000;31000;net;hh
Свердловская область;Свердловская обл;г Нижний Тагил;baf5b57d-b930-40c5-8838-471656c98ae6;Группа Компаний «GreenSpark»;Продавец-кассир;40000;40000;net;hh
Москва;г Москва;г Москва;0c5b2444-70a0-4932-980c-b4dc0d3f02b5;RALF RINGER;Продавец-кассир;55000;70000;net;hh
Московская область;Московская обл;г Балашиха;27c5bc66-61bf-4a17-b0cd-ca0eb64192d6;FIX PRICE;Продавец-кассир;30000;33000;net;hh
Камчатский край;Камчатский край;г Петропавловск-Камчатский;0b3f0723-5fe0-4c23-af44-8082166c6d2e;Домовид сеть магазинов домашнего уюта;Продавец-кассир;45000;50000;net;hh
Тульская область;Тульская обл;г Тула;b2601b18-6da2-4789-9fbe-800dde06a2bb;ДИКСИ, группа компаний;Продавец-кассир;24000;32000;gross;hh
Тульская область;Тульская обл;г Тула;b2601b18-6da2-4789-9fbe-800dde06a2bb;ДИКСИ, группа компаний;Продавец-кассир;24000;32000;gross;hh
Тульская область;Тульская обл;г Тула;b2601b18-6da2-4789-9fbe-800dde06a2bb;ДИКСИ, группа компаний;Продавец-кассир;24000;32000;gross;hh
Тульская область;Тульская обл;г Тула;b2601b18-6da2-4789-9fbe-800dde06a2bb;ДИКСИ, группа компаний;Продавец-кассир;24000;32000;gross;hh
Тульская область;Тульская обл;г Тула;b2601b18-6da2-4789-9fbe-800dde06a2bb;ДИКСИ, группа компаний;Продавец-кассир;24000;32000;gross;hh
Тульская область;Тульская обл;г Тула;b2601b18-6da2-4789-9fbe-800dde06a2bb;ДИКСИ, группа компаний;Продавец-кассир;24000;32000;gross;hh
Санкт-Петербург;г Санкт-Петербург;г Санкт-Петербург;c2deb16a-0330-4f05-821f-1d09c93331e6;КС Интернешнл;Продавец-кассир;28700;30500;net;hh
Санкт-Петербург;г Санкт-Петербург;г Санкт-Петербург;c2deb16a-0330-4f05-821f-1d09c93331e6;Ситникова Наталья Михайловна;Продавец-кассир;35000;45000;net;hh
Калужская область;Калужская обл;г Балабаново;ef65fa9c-6516-4175-a00a-6410a4a6f2d6;Хлебокомбинат г. Обнинск;Продавец-кассир;23000;35000;gross;hh
Краснодарский край;Краснодарский край;г Краснодар;7dfa745e-aa19-4688-b121-b655c11e482f;Хлебница;Продавец-кассир;25000;25000;net;hh
Иркутская область;Иркутская обл;г Ангарск;82b6b7c8-82a4-44b2-8bc7-691373706b89;Командор, сеть супермаркетов;Продавец-кассир;19000;21000;net;hh
Московская область;Московская обл;г Подольск;4305a5a5-8b2a-4fb7-8677-a74ed7180cf8;Куриный дом;Продавец-кассир;35000;40000;net;hh
Красноярский край;Красноярский край;г Красноярск;9b968c73-f4d4-4012-8da8-3dacd4d4c1bd;Хлебница;Продавец-кассир;25000;30000;net;hh
Архангельская область;Архангельская обл;г Архангельск;06814fb6-0dc3-4bec-ba20-11f894a0faf5;МУРАВЕЙ;Продавец-кассир;20000;30000;net;hh
Республика Башкортостан;Респ Башкортостан;г Уфа;7339e834-2cb4-4734-a4c7-1fca2c66e562;ГК Пышка;Продавец-кассир;25000;30000;net;hh
Ставропольский край;Ставропольский край;г Пятигорск;9b0efbd0-22bb-400d-86db-ddc69b9939d9;Канцелярский Мир Плюс;Продавец-кассир;23000;40000;net;hh
Ставропольский край;Ставропольский край;г Ессентуки;0ca8280c-89cb-4c81-8a99-ae10a98416bc;Канцелярский Мир Плюс;Продавец-кассир;23000;40000;net;hh
Ленинградская область;Ленинградская обл;г Всеволожск;c70a5280-c482-4f6e-801a-cdd6851eab50;РосАл;Продавец-кассир;30000;40000;net;hh
Республика Саха (Якутия);Респ Саха /Якутия/;г Нерюнгри;6ece5c38-f802-4f32-ad33-0409538c3562;Компания Санвэй;Продавец-кассир;33000;33000;net;hh
Московская область;Московская обл;г Сергиев Посад;b2dec0a5-6b4d-4ab0-9cdc-4101bfc4e198;ДИКСИ, группа компаний;Продавец-кассир;26000;45000;gross;hh
